Title,URL,Description,Level,Status,Review,Tags,Slugs
Justice,https://www.edx.org/course/justice-2,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,Beginner,Paid,,", Criminal Justice, Criminal Law, Constitutional Law, Ethics and Morality, Social JusticeSpecific Areas of Focus, Juvenile Justice, Restorative Justice, Corrections and Rehabilitation, Policing and Law Enforcement, Homeland Security, International Justice, Sociology, Criminology, Psychology, Political Science, History, Critical Thinking, Ethical Reasoning, Problem Solving, Communication and Advocacy, Research MethodsContemporary Issues, Mass Incarceration, Police Brutality, Racial Disparities in the Justice System, Criminal Justice Reform, Technological Advancements in Justice",justice  criminal justice criminal law constitutional law ethics and morality social justicespecific areas of focus juvenile justice restorative justice corrections and rehabilitation policing and law enforcement homeland security international justice sociology criminology psychology political science history critical thinking ethical reasoning problem solving communication and advocacy research methodscontemporary issues mass incarceration police brutality racial disparities in the justice system criminal justice reform technological advancements in justice beginner
Data Science: Machine Learning,https://www.edx.org/course/data-science-machine-learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,Beginner,Paid,,Machine Learning Artificial Intelligence Supervised Learning Unsupervised Learning Reinforcement Learning Deep Learning Natural Language Processing Computer VisionTools and Technologies Python R TensorFlow PyTorch Scikit-learn Pandas Data Mining Predictive Analytics Image Recognition Language Translation Object Detection Data Analysis Statistics Computer Science Mathematics Cloud Computing Edge Computing Quantum Computing Healthcare Finance Retail Manufacturing Problem Solving Data Visualization Communication,data science machine learning machine learning artificial intelligence supervised learning unsupervised learning reinforcement learning deep learning natural language processing computer visiontools and technologies python r tensorflow pytorch scikit-learn pandas data mining predictive analytics image recognition language translation object detection data analysis statistics computer science mathematics cloud computing edge computing quantum computing healthcare finance retail manufacturing problem solving data visualization communication beginner
Child Protection: Children's Rights in Theory and Practice,https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.",Beginner,Paid,,"Child Protection, Children's Rights, Child Welfare, Child Abuse, Child Neglect, Social Work, Law Enforcement, Policy Analysis, Social Justice, Human Rights",child protection children's rights in theory and practice child protection children's rights child welfare child abuse child neglect social work law enforcement policy analysis social justice human rights beginner
IELTS Academic Test Preparation,https://www.edx.org/course/ielts-academic-test-preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",Beginner,Paid,,"IELTS Academic, English Language Proficiency, Test Preparation, Academic Reading, Academic Writing, Academic Listening, Academic Speaking, Vocabulary, Grammar, Writing Skills, Reading Comprehension, Listening Comprehension, Speaking Fluency, Pronunciation",ielts academic test preparation ielts academic english language proficiency test preparation academic reading academic writing academic listening academic speaking vocabulary grammar writing skills reading comprehension listening comprehension speaking fluency pronunciation beginner
The Architectural Imagination,https://www.edx.org/course/the-architectural-imagination,Learn fundamental principles of architecture — as an academic subject or a professional career — by studying some of history’s most important buildings.,Beginner,Paid,,Architecture Architectural Design Design Thinking History of Architecture Architectural Theory Building Design Urban Planning Landscape Architecture Interior Design Sustainability in Architecture Building Materials Construction Management Architectural Drawing Architectural Visualization Architecture Criticism Imagination in Architecture Creative Process Architectural Inspiration Design Methodology Architectural Aesthetics Architectural Significance Ancient Architecture Medieval Architecture Renaissance Architecture Baroque Architecture Modern Architecture Contemporary ArchitectureIndustry- Architectural Practice Architectural Representation Building Codes Architectural Licensing Architectural Communication Architectural Visualization Software,the architectural imagination architecture architectural design design thinking history of architecture architectural theory building design urban planning landscape architecture interior design sustainability in architecture building materials construction management architectural drawing architectural visualization architecture criticism imagination in architecture creative process architectural inspiration design methodology architectural aesthetics architectural significance ancient architecture medieval architecture renaissance architecture baroque architecture modern architecture contemporary architectureindustry- architectural practice architectural representation building codes architectural licensing architectural communication architectural visualization software beginner
TOEFL® Test Preparation: The Insider’s Guide,https://www.edx.org/course/toefl-test-preparation-the-insiders-guide,Prepare for the TOEFL® test and learn how to improve your score and English language skills from the experts who create the exam.,Beginner,Paid,,"TOEFL® Preparation, English Language Proficiency, Test-Taking Strategies, Reading Comprehension, Listening Comprehension, Speaking Proficiency, Writing Proficiency, Higher Education Admissions, Standardized Test Preparation, Language Learning",toefl® test preparation the insider’s guide toefl® preparation english language proficiency test-taking strategies reading comprehension listening comprehension speaking proficiency writing proficiency higher education admissions standardized test preparation language learning beginner
Principles of Biochemistry,https://www.edx.org/course/principles-of-biochemistry,"This introduction to biochemistry explores the molecules of life, starting at simple building blocks and culminating in complex metabolism.",Intermediate,Paid,,Biochemistry Molecular Biology Cell Biology Genetics Protein Structure Enzyme Function Metabolism Bioenergetics Nucleic Acid Structure DNA Replication Transcription Translation Regulation of Gene Expression Biotechnology Bioinformatics Medical Biochemistry,principles of biochemistry biochemistry molecular biology cell biology genetics protein structure enzyme function metabolism bioenergetics nucleic acid structure dna replication transcription translation regulation of gene expression biotechnology bioinformatics medical biochemistry intermediate
Using Python for Research,https://www.edx.org/course/using-python-for-research,Take your Beginner knowledge of Python programming to the next level and learn how to use Python 3 for your research.,Intermediate,Paid,,"Data Analysis, Data Science, Machine Learning, Python Programming, Research Methods, Scientific Computing, Statistics, Data Visualization",using python for research data analysis data science machine learning python programming research methods scientific computing statistics data visualization intermediate
Hinduism Through Its Scriptures,https://www.edx.org/course/hinduism-through-its-scriptures,"Learn about the rich diversity of Hindu sacred texts – hymns, narratives, philosophical thought – and their interpretations.",Beginner,Paid,,Hinduism Scriptures Vedas Upanishads Bhagavad Gita Ramayana Mahabharata Puranas Agamas Religious Texts Spiritual Traditions Eastern Religions Indian Philosophy Sanskrit Dharma Karma Reincarnation,hinduism through its scriptures hinduism scriptures vedas upanishads bhagavad gita ramayana mahabharata puranas agamas religious texts spiritual traditions eastern religions indian philosophy sanskrit dharma karma reincarnation beginner
Basic Spanish 1: Getting Started,https://www.edx.org/course/basic-spanish-1-getting-started,"Learn Spanish and explore Spanish culture in this Beginner language course, designed for English speakers.",Beginner,Paid,,"Spanish Language, Beginner Spanish, Basic Spanish, Spanish Vocabulary, Spanish Grammar, Spanish Conversation, Spanish Pronunciation, Spanish Culture, Spanish Immersion, Getting Started with Spanish",basic spanish 1 getting started spanish language beginner spanish basic spanish spanish vocabulary spanish grammar spanish conversation spanish pronunciation spanish culture spanish immersion getting started with spanish beginner
The Health Effects of Climate Change,https://www.edx.org/course/the-health-effects-of-climate-change,"Learnhow global warming impacts human health, and the wayswe can diminish those impacts.",Beginner,Paid,,"Climate Change, Health Effects, Environmental Health, Public Health, Epidemiology, Air Pollution, Heat Stress, Extreme Weather Events, Infectious Diseases, Water-Borne Diseases, Food Security, Health Impacts, Climate Adaptation, Mitigation Strategies, Policy Implications",the health effects of climate change climate change health effects environmental health public health epidemiology air pollution heat stress extreme weather events infectious diseases water-borne diseases food security health impacts climate adaptation mitigation strategies policy implications beginner
Statistics and R,https://www.edx.org/course/statistics-and-r,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,Intermediate,Paid,,Statistics R Programming Data Analysis Data Visualization Statistical Modeling Hypothesis Testing Regression Analysis Time Series Analysis RStudio Data Science,statistics and r statistics r programming data analysis data visualization statistical modeling hypothesis testing regression analysis time series analysis rstudio data science intermediate
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),https://www.edx.org/course/science-cooking-from-haute-cuisine-to-soft-matter,"Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in chemistry, physics, and engineering. Learn about food molecules and how chemical reactions can affect food texture and flavor.",Beginner,Paid,,Science & Cooking From Haute Cuisine to Soft Matter ScienceChemistry Food Chemistry Biophysics Colloid Science Interfacial Science Polymer Science Rheology Thermodynamics Instrumental AnalysisCooking Molecular Gastronomy Culinary Arts Food Science Food Technology Culinary Innovation Kitchen Science Restaurant ManagementOther Education Science Communication Interdisciplinary Science STEM Education Food and Nutrition Health and Wellness Gastronomy,science  cooking from haute cuisine to soft matter science (chemistry) science  cooking from haute cuisine to soft matter sciencechemistry food chemistry biophysics colloid science interfacial science polymer science rheology thermodynamics instrumental analysiscooking molecular gastronomy culinary arts food science food technology culinary innovation kitchen science restaurant managementother education science communication interdisciplinary science stem education food and nutrition health and wellness gastronomy beginner
Pyramids of Giza: Ancient Egyptian Art and Archaeology,https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom pharaohs and elites, tombs, temples, the Sphinx, and how new technology is unlocking their secrets.",Beginner,Paid,,Ancient Egypt Pyramids of Giza Egyptology Egyptian Art Egyptian Archaeology Ancient Civilization Archaeology Architectural History Art History Cultural Heritage History of Art Monumental Architecture Museum Studies Pyramids Tombs and Burial Practices,pyramids of giza ancient egyptian art and archaeology ancient egypt pyramids of giza egyptology egyptian art egyptian archaeology ancient civilization archaeology architectural history art history cultural heritage history of art monumental architecture museum studies pyramids tombs and burial practices beginner
"PredictionX: Omens, Oracles & Prophecies",https://www.edx.org/course/omens-oracles-prophecies,"This course is an overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",Beginner,Paid,,"Prophecy, Oracle, Omen, Divination, Precognition, Clairvoyance, Intuition, Prediction, Forecasting, Futurology, Numerology, Astrology, Tarot, Ouija, Psychic, Spiritual, Metaphysical, Paranormal",predictionx omens oracles  prophecies prophecy oracle omen divination precognition clairvoyance intuition prediction forecasting futurology numerology astrology tarot ouija psychic spiritual metaphysical paranormal beginner
Lessons from Ebola: Preventing the Next Pandemic,https://www.edx.org/course/lessons-from-ebola-preventing-the-next-pandemic,"Understanding the context for the Ebola outbreak: What went right, what went wrong, and how we can all do better.",Beginner,Paid,,"Infectious Disease Control, Pandemic Preparedness, Public Health Emergencies, Health System Resilience, Epidemiology, Surveillance, Containment, Infection Control, Vaccine Development, Global Health",lessons from ebola preventing the next pandemic infectious disease control pandemic preparedness public health emergencies health system resilience epidemiology surveillance containment infection control vaccine development global health beginner
Improving Global Health: Focusing on Quality and Safety,https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa,An introduction to the emerging field of global healthcare quality.,Intermediate,Paid,,"Global Health, Quality Improvement in Healthcare, Patient Safety, Healthcare Delivery Systems, Health Policy, Public Health, Epidemiology, Health Economics, Health Systems Strengthening, Global Health Governance",improving global health focusing on quality and safety global health quality improvement in healthcare patient safety healthcare delivery systems health policy public health epidemiology health economics health systems strengthening global health governance intermediate
Data Science: Visualization,https://www.edx.org/course/data-science-visualization,Learn basic data visualization principles and how to apply them using ggplot2.,Beginner,Paid,,"Data Visualization, Visual Analytics, Exploratory Data Analysis, Data Storytelling, Tableau, Power BI, R, Python, ggplot2, plotly",data science visualization data visualization visual analytics exploratory data analysis data storytelling tableau power bi r python ggplot2 plotly beginner
Christianity Through Its Scriptures,https://www.edx.org/course/christianity-through-its-scriptures,"Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these writings and practiced their teachings over a 2000 year, global history.",Beginner,Paid,,"Bible, Christian Theology, Biblical Studies, Church History, Christian Ethics, Biblical Hermeneutics, Old Testament, New Testament, Apologetics, Systematic Theology, Biblical Archaeology, Church History, Christian Denominations, Christian Spirituality, Christian Counseling, Missions and Evangelism, Biblical Languages, Christian Apologetics",christianity through its scriptures bible christian theology biblical studies church history christian ethics biblical hermeneutics old testament new testament apologetics systematic theology biblical archaeology church history christian denominations christian spirituality christian counseling missions and evangelism biblical languages christian apologetics beginner
The Science of Happiness,https://www.edx.org/course/the-science-of-happiness-3,"The first MOOC to teach positive psychology. Learn science-based principles and practices for a happy, meaningful life.",Beginner,Paid,,"Well-being, Happiness Research, Positive Psychology, Psychology of Happiness, Subjective Well-being, Life Satisfaction, Meaningful Life, Flourishing, Mindfulness, Gratitude",the science of happiness well-being happiness research positive psychology psychology of happiness subjective well-being life satisfaction meaningful life flourishing mindfulness gratitude beginner
How to Write an Essay,https://www.edx.org/course/how-to-write-an-essay,"An introduction to academic writing for English Language Learners, focusing on essay development, grammatical correctness, and self-editing.",Beginner,Paid,,Essay Writing Essay Structure Essay Development Thesis Statement Body Paragraphs Conclusion Argumentation Persuasion Critical Thinking Writing Skills Critical Reading Skills Analytical Skills Research Skills Organization Skills Time Management Skills Effective CommunicationAcademic Discipline  English Composition Rhetoric Writing Studies Linguistics LiteratureAudience- Students High School Students College Students Graduate Students Non-Native English Speakers Writing Theory Essay Formats Style and Grammar Literary Analysis College Admissions,how to write an essay essay writing essay structure essay development thesis statement body paragraphs conclusion argumentation persuasion critical thinking writing skills critical reading skills analytical skills research skills organization skills time management skills effective communicationacademic discipline  english composition rhetoric writing studies linguistics literatureaudience- students high school students college students graduate students non-native english speakers writing theory essay formats style and grammar literary analysis college admissions beginner
Energy Within Environmental Constraints,https://www.edx.org/course/energy-within-environmental-constraints,A quantitative introduction to the energy system and its environmental impacts.,Beginner,Paid,,"Environmental Science, Energy Conservation, Renewable Energy, Sustainability, Climate Change, Environmental Policy, Energy Efficiency, Environmental Impact, Green Technology, Carbon Emissions",energy within environmental constraints environmental science energy conservation renewable energy sustainability climate change environmental policy energy efficiency environmental impact green technology carbon emissions beginner
Introduction to Probability,https://www.edx.org/course/introduction-to-probability,"Learn probability, an essential language and set of tools for understanding data, randomness, and uncertainty.",Intermediate,Paid,,"Probability Theory, Random Variables, Probability Distributions, Conditional Probability, Bayes' Theorem, Hypothesis Testing, Statistical Inference, Data Analysis, Mathematics, Statistics",introduction to probability probability theory random variables probability distributions conditional probability bayes' theorem hypothesis testing statistical inference data analysis mathematics statistics intermediate
AnatomyX: Musculoskeletal Cases,https://www.edx.org/course/anatomyx-musculoskeletal-cases,Learn the anatomy basic to understanding five musculoskeletal injuries commonly seen in primary care medicine and orthopedic clinical specialty practice. Follow hypothetical patients from injury to operating room.,Intermediate,Paid,,"Musculoskeletal Anatomy, Musculoskeletal Cases, Orthopaedics, Radiology, Physical Examination, Differential Diagnosis, Imaging Techniques, Case Studies, Medical Education",anatomyx musculoskeletal cases musculoskeletal anatomy musculoskeletal cases orthopaedics radiology physical examination differential diagnosis imaging techniques case studies medical education intermediate
Data Science: Inference and Modeling,https://www.edx.org/course/data-science-inference-and-modeling,"Learn inference and modeling, two of the most widely used statistical tools in data analysis.",Beginner,Paid,,"Statistics, Probability, Data Analysis, Statistical Inference, Bayesian Statistics, Machine Learning, Data Mining, Predictive Analytics, R Programming, Python Programming, SQL, Big Data, Data Visualization, Data Management, Data Science Methods, Data Science Tools",data science inference and modeling statistics probability data analysis statistical inference bayesian statistics machine learning data mining predictive analytics r programming python programming sql big data data visualization data management data science methods data science tools beginner
